source,target,relation,method,confidence,doc_id
COBS 2.3.17,COBS 2.3B.5R,CITES,rule,0.97,COBS_0050
COBS 2.3.17,COBS 2.3B.20R,CITES,rule,0.97,COBS_0050
COBS 2.3.17,COBS 2.3B.7,CITES,rule,0.97,COBS_0050
COBS 2.3.17,COBS 2.3B.8,CITES,rule,0.97,COBS_0050
COBS 2.3.17,COBS 2.3B.9,CITES,rule,0.97,COBS_0050
COBS 2.3.17,COBS 2.3B.10,CITES,rule,0.97,COBS_0050
COBS 2.3.17,COBS 2.3B.11,CITES,rule,0.97,COBS_0050
COBS 2.3.17,COBS 2.3B.12R,CITES,rule,0.97,COBS_0050
COBS 2.3.17,COBS 2.3B.12,CITES,rule,0.97,COBS_0050
COBS 2.3.17,COBS 2.3B.13,CITES,rule,0.97,COBS_0050
COBS 2.3.17,COBS 2.3B.14,CITES,rule,0.97,COBS_0050
COBS 2.3.17,COBS 2.3B.15,CITES,rule,0.97,COBS_0050
COBS 2.3.17,COBS 2.3B.16,CITES,rule,0.97,COBS_0050
COBS 2.3.17,COBS 2.3B.17,CITES,rule,0.97,COBS_0050
COBS 2.3.17,COBS 2.3B.18,CITES,rule,0.97,COBS_0050
COBS 2.3.17,COBS 2.3B.19,CITES,rule,0.97,COBS_0050
COBS 2.3.17,COBS 2.3B.20,CITES,rule,0.97,COBS_0050
COBS 2.3.17,COBS 2.3B.21,CITES,rule,0.97,COBS_0050
COBS 2.3.17,COBS 2.3B.22,CITES,rule,0.97,COBS_0050
COBS 2.3.17,COBS 2.3A.22G,CITES,rule,0.97,COBS_0050
COBS 2.3.17,COBS 2.3B.23,CITES,rule,0.97,COBS_0050
COBS 2.3.17,COBS 2.3B.24,CITES,rule,0.97,COBS_0050
COBS 2.3.17,COBS 2.3B.25,CITES,rule,0.97,COBS_0050
COBS 2.3.17,COBS 2.3B.30R,CITES,rule,0.97,COBS_0050
COBS 2.3.17,COBS 2.3B.26,CITES,rule,0.97,COBS_0050
COBS 2.3.17,COBS 2.3B.27,CITES,rule,0.97,COBS_0050
COBS 2.3.17,COBS 2.3B.28,CITES,rule,0.97,COBS_0050
COBS 2.3.17,COBS 2.3B.29,CITES,rule,0.97,COBS_0050
COBS 2.3.17,COBS 11.2A.2R,CITES,rule,0.97,COBS_0050
COBS 2.3.17,COBS 2.3B.30,CITES,rule,0.97,COBS_0050
COBS 2.3.17,COBS 2.3B.27G,CITES,rule,0.97,COBS_0050
COBS 2.3.17,COBS 2.3B.26R,CITES,rule,0.97,COBS_0050
COBS 2.3.17,COBS 2.3B.31,CITES,rule,0.97,COBS_0050
COBS 2.3.17,COBS 2.3B.32,CITES,rule,0.97,COBS_0050
COBS 2.3.17,COBS 2.3B.33,CITES,rule,0.97,COBS_0050
COBS 2.3.17,COBS 2.3C,CITES,rule,0.97,COBS_0050
COBS 2.3.17,COBS 2.3C.1,CITES,rule,0.97,COBS_0050
COBS 2.3.17,COBS 2.3C.2,CITES,rule,0.97,COBS_0050
COBS 2.3.17,COBS 2.3C.1R,CITES,rule,0.97,COBS_0050
COBS 2.3.17,COBS 2.3C.3,CITES,rule,0.97,COBS_0050
COBS 2.3.17,COBS 2.3C.4,CITES,rule,0.97,COBS_0050
COBS 2.3.17,COBS 2.3C.2R,CITES,rule,0.97,COBS_0050
COBS 2.3.17,COBS 2.4,CITES,rule,0.97,COBS_0050
COBS 2.4.3,COBS 16.2,CITES,rule,0.97,COBS_0053
COBS 2.4.3,COBS 16A.3,CITES,rule,0.97,COBS_0053
COBS 2.4.5,COBS 10A.2,CITES,rule,0.97,COBS_0055
COBS 2.4.5A,COBS 10A.2,CITES,rule,0.97,COBS_0056
COBS 2.4.6,COBS 2.4.4,CITES,rule,0.97,COBS_0057
COBS 2.4.6,COBS 2.4.5AR,CITES,rule,0.97,COBS_0057
COBS 2.4.7,COBS 2.4.6,CITES,rule,0.97,COBS_0058
COBS 2.4.8,COBS 2.4.6R,CITES,rule,0.97,COBS_0059
COBS 2.4.10,COBS 2.5,CITES,rule,0.97,COBS_0061
COBS 2.5.4,COBS 2.5,CITES,rule,0.97,COBS_0065
COBS 3.1.3,COBS 3.3,CITES,rule,0.97,COBS_0068
COBS 3.1.3,COBS 3.8,CITES,rule,0.97,COBS_0068
COBS 3.1.5,COBS 3.2,CITES,rule,0.97,COBS_0070
